address,name,namespace,type,source,external,primary
"00018952","caseD_2b","switchD_000186b6","Label","ANALYSIS",false,true
"00018964","caseD_2c","switchD_000186b6","Label","ANALYSIS",false,true
"00018976","caseD_2d","switchD_000186b6","Label","ANALYSIS",false,true
"00018988","caseD_2e","switchD_000186b6","Label","ANALYSIS",false,true
"0001899a","caseD_31","switchD_000186b6","Label","ANALYSIS",false,true
"000189ac","caseD_35","switchD_000186b6","Label","ANALYSIS",false,true
"000189be","caseD_36","switchD_000186b6","Label","ANALYSIS",false,true
"000189d0","caseD_46","switchD_000186b6","Label","ANALYSIS",false,true
"000189e2","caseD_47","switchD_000186b6","Label","ANALYSIS",false,true
"000189f4","caseD_48","switchD_000186b6","Label","ANALYSIS",false,true
"00018a06","caseD_49","switchD_000186b6","Label","ANALYSIS",false,true
"00018a18","caseD_4a","switchD_000186b6","Label","ANALYSIS",false,true
"00018a2a","caseD_4b","switchD_000186b6","Label","ANALYSIS",false,true
"00018a3c","caseD_4c","switchD_000186b6","Label","ANALYSIS",false,true
"00018a4e","caseD_4d","switchD_000186b6","Label","ANALYSIS",false,true
"00018a60","caseD_4e","switchD_000186b6","Label","ANALYSIS",false,true
"00018a72","caseD_4f","switchD_000186b6","Label","ANALYSIS",false,true
"00018a84","caseD_50","switchD_000186b6","Label","ANALYSIS",false,true
"00018a96","caseD_51","switchD_000186b6","Label","ANALYSIS",false,true
"00018aa8","caseD_52","switchD_000186b6","Label","ANALYSIS",false,true
"00018aba","caseD_53","switchD_000186b6","Label","ANALYSIS",false,true
"00018acc","caseD_54","switchD_000186b6","Label","ANALYSIS",false,true
"00018ade","caseD_55","switchD_000186b6","Label","ANALYSIS",false,true
"00018af0","caseD_56","switchD_000186b6","Label","ANALYSIS",false,true
"00018b02","caseD_57","switchD_000186b6","Label","ANALYSIS",false,true
"00018b14","caseD_58","switchD_000186b6","Label","ANALYSIS",false,true
"00018b26","caseD_59","switchD_000186b6","Label","ANALYSIS",false,true
"00018b38","caseD_5a","switchD_000186b6","Label","ANALYSIS",false,true
"00018b4a","caseD_5b","switchD_000186b6","Label","ANALYSIS",false,true
"00018b5c","caseD_5c","switchD_000186b6","Label","ANALYSIS",false,true
"00018b6e","caseD_63","switchD_000186b6","Label","ANALYSIS",false,true
"00018b80","caseD_64","switchD_000186b6","Label","ANALYSIS",false,true
"00018b92","caseD_65","switchD_000186b6","Label","ANALYSIS",false,true
"00018ba4","caseD_66","switchD_000186b6","Label","ANALYSIS",false,true
"00018bb6","caseD_67","switchD_000186b6","Label","ANALYSIS",false,true
"00018bc8","caseD_68","switchD_000186b6","Label","ANALYSIS",false,true
"00018bda","caseD_69","switchD_000186b6","Label","ANALYSIS",false,true
"00018bec","caseD_6a","switchD_000186b6","Label","ANALYSIS",false,true
"00018bfe","caseD_6b","switchD_000186b6","Label","ANALYSIS",false,true
"00018c10","caseD_6c","switchD_000186b6","Label","ANALYSIS",false,true
"00018c22","caseD_6d","switchD_000186b6","Label","ANALYSIS",false,true
"00018c34","caseD_6e","switchD_000186b6","Label","ANALYSIS",false,true
"00018c46","caseD_6f","switchD_000186b6","Label","ANALYSIS",false,true
"00018c58","caseD_70","switchD_000186b6","Label","ANALYSIS",false,true
"00018c6a","caseD_71","switchD_000186b6","Label","ANALYSIS",false,true
"00018c7c","caseD_72","switchD_000186b6","Label","ANALYSIS",false,true
"00018c8e","caseD_73","switchD_000186b6","Label","ANALYSIS",false,true
"00018ca0","caseD_74","switchD_000186b6","Label","ANALYSIS",false,true
"00018cb2","caseD_75","switchD_000186b6","Label","ANALYSIS",false,true
"00018cc4","caseD_76","switchD_000186b6","Label","ANALYSIS",false,true
"00018cd6","caseD_77","switchD_000186b6","Label","ANALYSIS",false,true
"00018ce8","caseD_78","switchD_000186b6","Label","ANALYSIS",false,true
"00018cfa","caseD_79","switchD_000186b6","Label","ANALYSIS",false,true
"00018d0c","caseD_7a","switchD_000186b6","Label","ANALYSIS",false,true
"00018d1e","caseD_7b","switchD_000186b6","Label","ANALYSIS",false,true
"00018d30","caseD_7c","switchD_000186b6","Label","ANALYSIS",false,true
"00018d42","caseD_7d","switchD_000186b6","Label","ANALYSIS",false,true
"00018d54","caseD_7e","switchD_000186b6","Label","ANALYSIS",false,true
"00018d66","caseD_7f","switchD_000186b6","Label","ANALYSIS",false,true
"00018d78","caseD_80","switchD_000186b6","Label","ANALYSIS",false,true
"00018d8a","caseD_81","switchD_000186b6","Label","ANALYSIS",false,true
"00018d9c","caseD_82","switchD_000186b6","Label","ANALYSIS",false,true
"00018dae","caseD_83","switchD_000186b6","Label","ANALYSIS",false,true
"00018dc0","caseD_84","switchD_000186b6","Label","ANALYSIS",false,true
