address,length,value
"10050cc6",12,"""ExitProcess"""
"10050cd4",19,"""GetModuleFileNameW"""
"10050cea",10,"""HeapAlloc"""
"10050cf6",9,"""HeapFree"""
"10050d02",15,"""CompareStringW"""
"10050d14",13,"""LCMapStringW"""
"10050d24",15,"""GetLocaleInfoW"""
"10050d36",14,"""IsValidLocale"""
"10050d46",19,"""GetUserDefaultLCID"""
"10050d5c",19,"""EnumSystemLocalesW"""
"10050d72",13,"""GetStdHandle"""
"10050d82",12,"""GetFileType"""
"10050d90",17,"""FlushFileBuffers"""
"10050da4",19,"""GetConsoleOutputCP"""
"10050dba",15,"""GetConsoleMode"""
"10050dcc",9,"""ReadFile"""
"10050dd8",14,"""GetFileSizeEx"""
