address,length,value
"0085d154",15,"""CAR_getout_RHS"""
"0085d164",15,"""CAR_getout_LHS"""
"0085d174",16,"""CAR_shuffle_RHS"""
"0085d184",18,"""CAR_closedoor_RHS"""
"0085d198",18,"""CAR_closedoor_LHS"""
"0085d1ac",16,"""CAR_pullout_RHS"""
"0085d1bc",16,"""CAR_pullout_LHS"""
"0085d1cc",14,"""CAR_getin_RHS"""
"0085d1dc",14,"""CAR_getin_LHS"""
"0085d1ec",13,"""CAR_open_RHS"""
"0085d1fc",13,"""CAR_open_LHS"""
"0085d20c",16,"""CAR_alignHI_RHS"""
"0085d21c",16,"""CAR_alignHI_LHS"""
"0085d22c",14,"""CAR_align_RHS"""
"0085d23c",14,"""CAR_align_LHS"""
"0085d254",11,"""skate_idle"""
"0085d260",13,"""skate_sprint"""
"0085d270",10,"""skate_run"""
"0085d27c",10,"""JOG_maleB"""
"0085d288",14,"""woman_walkold"""
"0085d298",15,"""woman_walksexy"""
"0085d2a8",15,"""woman_walkbusy"""
"0085d2b8",15,"""woman_walkshop"""
"0085d2c8",17,"""woman_idlestance"""
"0085d2dc",10,"""woman_run"""
"0085d2e8",15,"""woman_walknorm"""
"0085d2f8",10,"""JOG_maleA"""
"0085d304",11,"""run_fatold"""
"0085d310",12,"""walk_fatold"""
"0085d31c",15,"""woman_runpanic"""
"0085d32c",9,"""walk_fat"""
"0085d338",11,"""walk_gang2"""
"0085d344",10,"""run_gang1"""
"0085d350",11,"""walk_gang1"""
"0085d35c",12,"""idle_stance"""
"0085d368",12,"""sprint_civi"""
"0085d374",9,"""run_civi"""
"0085d380",9,"""walk_old"""
"0085d38c",9,"""RUN_civi"""
"0085d398",13,"""WALK_shuffle"""
"0085d3a8",18,"""walkst_csaw_right"""
"0085d3bc",15,"""run_csaw_right"""
"0085d3cc",16,"""walk_csaw_right"""
"0085d3dc",17,"""walkst_csaw_left"""
"0085d3f0",14,"""run_csaw_left"""
"0085d400",15,"""walk_csaw_left"""
"0085d410",17,"""walkst_csaw_back"""
"0085d424",10,"""idle_csaw"""
"0085d430",14,"""run_csaw_back"""
"0085d440",15,"""walk_csaw_back"""
"0085d450",20,"""walkst_rocket_right"""
"0085d464",17,"""run_rocket_right"""
"0085d478",18,"""walk_rocket_right"""
"0085d48c",19,"""walkst_rocket_left"""
"0085d4a0",16,"""run_rocket_left"""
"0085d4b0",17,"""walk_rocket_left"""
"0085d4c4",19,"""walkst_rocket_back"""
"0085d4d8",16,"""run_rocket_back"""
"0085d4e8",17,"""walk_rocket_back"""
"0085d4fc",17,"""walk_start_right"""
"0085d510",10,"""run_right"""
"0085d51c",11,"""walk_right"""
"0085d528",16,"""walk_start_left"""
"0085d538",9,"""run_left"""
"0085d544",10,"""walk_left"""
"0085d550",16,"""walk_start_back"""
"0085d560",9,"""run_back"""
"0085d56c",10,"""walk_back"""
"0085d578",11,"""idle_tired"""
"0085d584",10,"""putdwn105"""
"0085d590",10,"""liftup105"""
"0085d59c",9,"""putdwn05"""
"0085d5a8",9,"""liftup05"""
"0085d5b4",7,"""putdwn"""
"0085d5bc",12,"""crry_prtial"""
"0085d5c8",7,"""liftup"""
"0085d5d0",13,"""Swim_jumpout"""
"0085d5e0",11,"""Swim_Glide"""
"0085d5ec",11,"""Swim_Under"""
"0085d5f8",16,"""Swim_Dive_Under"""
"0085d608",11,"""SWIM_crawl"""
"0085d614",12,"""Swim_Breast"""
"0085d620",13,"""Jetpack_Idle"""
"0085d630",23,"""player_sneak_walkstart"""
"0085d648",13,"""player_sneak"""
"0085d658",17,"""msclewalkst_csaw"""
"0085d66c",16,"""muscleidle_csaw"""
"0085d67c",15,"""mscle_run_csaw"""
"0085d68c",16,"""musclewalk_csaw"""
"0085d69c",18,"""fatwalkstart_csaw"""
"0085d6b0",13,"""fatidle_csaw"""
"0085d6c0",12,"""fatrun_csaw"""
"0085d6cc",13,"""fatwalk_csaw"""
"0085d6dc",16,"""walk_start_csaw"""
"0085d6ec",10,"""IDLE_csaw"""
"0085d6f8",9,"""run_csaw"""
"0085d704",10,"""walk_csaw"""
"0085d710",18,"""msclewalkst_armed"""
"0085d724",17,"""muscleidle_armed"""
"0085d738",16,"""musclerun_armed"""
"0085d748",17,"""musclewalk_armed"""
"0085d75c",16,"""fatwalkst_armed"""
"0085d76c",14,"""fatidle_armed"""
"0085d77c",13,"""fatrun_armed"""
"0085d78c",14,"""fatwalk_armed"""
"0085d79c",17,"""walk_start_armed"""
"0085d7b0",11,"""idle_armed"""
"0085d7bc",10,"""run_armed"""
"0085d7c8",11,"""walk_armed"""
"0085d7d4",18,"""mscle_rckt_walkst"""
"0085d7e8",18,"""muscleidle_rocket"""
"0085d7fc",15,"""mscle_rckt_run"""
"0085d80c",18,"""musclewalk_rocket"""
"0085d820",17,"""fatwalkst_rocket"""
"0085d834",15,"""fatidle_rocket"""
"0085d844",14,"""fatrun_rocket"""
"0085d854",15,"""fatwalk_rocket"""
"0085d864",18,"""walk_start_rocket"""
"0085d878",12,"""idle_rocket"""
"0085d884",11,"""run_rocket"""
"0085d890",12,"""walk_rocket"""
